Title|Image|ISBN|Year|Month|Tag|Checkout|
Design Patterns: Elements of Reusable Object-Oriented Software|https://m.media-amazon.com/images/I/81IGFC6oFmL.jpg|978-0201633610|2025|8|Computer
Discrete Mathematics and Its Applications|https://m.media-amazon.com/images/I/41ujd8aCacL.jpg|978-1259676512|2024|10|Math
Core Java: Fundamentals|https://m.media-amazon.com/images/I/611cbk0IBdL.jpg|978-0134177304|2025|8|Computer
Network Security: Private Communication in a Public World|https://m.media-amazon.com/images/I/91WaSUdg6rL.jpg|978-0130460196|2025|8|Computer
Hands-On Introduction to LabVIEW for Scientists and Engineers|https://m.media-amazon.com/images/I/51S1XmVvlEL.jpg|978-0199925155|2025|8|EE
Medieval Designs|https://m.media-amazon.com/images/I/51GAEN6AMKL.jpg|978-0486297910|2025|8|Design|LST-RT
